@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute test-1 numeric
@attribute thickness-1 numeric

@data
3,'2021/04/01 19:18:58:156',4,0.95,1
4,'2021/04/01 19:18:58:172',4,0.94,1
5,'2021/04/01 19:18:58:321',4,0.94,1
6,'2021/04/01 19:18:58:339',4,0.94,1
7,'2021/04/01 19:18:58:356',4,0.94,1
8,'2021/04/01 19:18:58:372',4,0.95,1
9,'2021/04/01 19:18:58:389',4,0.95,1
10,'2021/04/01 19:18:58:405',4,0.95,1
11,'2021/04/01 19:18:58:422',4,0.95,1
12,'2021/04/01 19:18:58:438',4,0.95,1
13,'2021/04/01 19:18:58:455',4,0.95,1
14,'2021/04/01 19:18:58:473',4,0.95,1
15,'2021/04/01 19:18:58:488',4,0.95,1
16,'2021/04/01 19:18:58:513',4,0.95,1
17,'2021/04/01 19:18:58:521',4,0.95,1
18,'2021/04/01 19:18:58:538',4,0.95,1
19,'2021/04/01 19:18:58:555',4,0.95,1
20,'2021/04/01 19:18:58:571',4,0.95,1
21,'2021/04/01 19:18:58:589',4,0.95,1
22,'2021/04/01 19:18:58:605',4,0.95,1
23,'2021/04/01 19:18:58:622',4,0.95,1
24,'2021/04/01 19:18:58:638',4,0.95,1
25,'2021/04/01 19:18:58:655',4,0.95,1
26,'2021/04/01 19:18:58:672',4,0.95,1
27,'2021/04/01 19:18:58:705',4,0.95,1
28,'2021/04/01 19:18:58:822',4,0.95,1
29,'2021/04/01 19:18:58:838',4,0.95,1
30,'2021/04/01 19:18:58:856',4,0.95,1
31,'2021/04/01 19:18:58:871',4,0.95,1
32,'2021/04/01 19:18:58:888',4,0.95,1
33,'2021/04/01 19:18:58:989',4,0.95,1
34,'2021/04/01 19:18:59:014',4,0.94,1
35,'2021/04/01 19:18:59:022',4,0.94,1
36,'2021/04/01 19:18:59:038',4,0.94,1
37,'2021/04/01 19:18:59:055',4,0.94,1
38,'2021/04/01 19:18:59:106',4,0.94,1
39,'2021/04/01 19:18:59:127',4,0.94,1
40,'2021/04/01 19:18:59:139',4,0.94,1
41,'2021/04/01 19:18:59:155',4,0.94,1
42,'2021/04/01 19:18:59:172',4,0.94,1
